SL_Number,Player,Assists
1,Ryan  Giggs,162
2,Kevin De Bruyne,113
3,Cesc Fàbregas,111
4,Wayne Rooney,103
5,Frank Lampard,102
6,Dennis Bergkamp,94
7,David Silva,93
8,Steven Gerrard,92
9,James Milner,89
10,David Beckham,80
11,Christian Eriksen,76
12,Teddy Sheringham,76
13,Mohamed Salah,74
14,Ashley Young,74
15,Thierry Henry,74
16,Andrew Cole,73
17,Darren Anderton,68
18,Son Heung-min,65
19,Gareth Barry,64
20,Matthew Le Tissier,64
21,Alan Shearer,64
22,Raheem Sterling,63
23,Nolberto Solano,62
24,Riyad Mahrez,61
25,Trent Alexander-Arnold,59
26,Andrew Robertson,59
27,Stewart Downing,59
28,Steve McManaman,59
29,Peter Crouch,58
30,Jimmy Floyd Hasselbaink,58
31,Theo Walcott,56
32,Eric Cantona,56
33,Kevin Davies,55
34,Damien Duff,55
35,Steed Malbranque,55
36,Danny Murphy,55
37,Paul Scholes,55
38,Jordan Henderson,54
39,Juan Mata,54
40,Mesut Özil,54
41,Didier Drogba,54
42,Eden Hazard,54
43,Leighton Baines,53
44,Emile Heskey,53
45,Robin van Persie,53
46,Roberto Firmino,50
47,Gylfi Sigurdsson,50
48,Aaron Lennon,50
49,Nick Barmby,50
50,Dwight Yorke,50
51,Chris Brunt,49
52,Paolo Di Canio,49
53,Les Ferdinand,49
54,Nicolas Anelka,48
55,Sergio Agüero,47
56,Gary McAllister,47
57,Harry Kane,46
58,Aaron Ramsey,46
59,Antonio Valencia,46
60,Bernardo Silva,45
61,Jamie Vardy,45
62,James Ward-Prowse,45
63,Pascal Groß,45
64,Willian,45
65,Stuart Ripley,45
66,Trevor Sinclair,45
67,Jason Wilcox,45
68,James Maddison,44
69,Marc Albrighton,44
70,Ruel Fox,44
71,Graeme Le Saux,44
72,Gary  Speed,44
73,Bruno Fernandes,43
74,Nani,43
75,Paul Merson,43
76,Bukayo Saka,42
77,Mikel Arteta,42
78,David Ginola,42
79,Gianfranco Zola,42
80,Eyal Berkovic,41
81,Brian Deane,41
82,Robert Pires,41
83,Chris Sutton,41
84,Marcus Rashford,40
85,Gabriel Jesus,40
86,Dimitar Berbatov,40
87,Michael Carrick,40
88,Dion Dublin,40
89,Samir Nasri,40
90,Jermaine Pennant,40
91,Robbie Fowler,39
92,Morten Gamst Pedersen,39
93,Dennis Wise,39
94,Paul Pogba,38
95,Sadio Mané,38
96,Lee Bowyer,38
97,Harry Kewell,38
98,Cristiano Ronaldo,37
99,James Beattie,37
100,Robbie Keane,37
101,Niall Quinn,37
