SL_Number,Club,Youngest Player,Oldest Player
1,AFC Bournemouth,Owen Bevan,Artur Boruc
2,Arsenal FC ,Ethan  Nwaneri,Jens  Lehmann
3,Aston Villa ,Rushian  Hepburn-Murphy,Brad  Friedel
4,Brentford FC,Fin  Stevens,Ben  Mee
5,Brighton & Hove Albion ,Evan  Ferguson,Bruno  Saltor
6,Burnley FC ,Aiden O'Neill,Graham Alexander
7,Chelsea FC ,Jody Morris,Mark Schwarzer
8,Crystal Palace ,David Ozoh,Kevin  Phillips
9,Everton FC ,Jose Baxter,Nigel  Martyn
10,Fulham FC,Harvey Elliott,Mark  Schwarzer
11,Ipswich Town,Richard Wright,John  Wark
12,Leeds United,Aaron Lennon,Gordon Strachan
13,Leicester City ,Emile Heskey,Mark Schwarzer
14,Liverpool FC ,Jack Robinson,James Milner 
15,Manchester City ,Micah Richards,John  Burridge
16,Manchester United ,Angel  Gomés,Edwin  van der Sar
17,Newcastle United ,Kazenga  Lua Lua,Pavel  Srnicek
18,Nottingham Forest,Chris Doig ,Dave Beasant 
19,Sheffield United ,Nicky Law,Phil Jagielka
20,Southampton FC ,Samuel Amo-Ameyaw ,Willy Caballero 
21,Tottenham Hotspur ,Mikey Moore ,Brad Friedel 
22,West Ham United ,Reece Oxford ,Teddy Sheringham 
23,Wolverhampton Wanderers ,Anthony Forde ,Denis Irwin 
