SL_Number,Month,Year,Player,Team,Nationality
1, ﻿August ,1994,Jürgen Klinsmann ,Tottenham Hotspur , Germany 
2, ﻿September ,1994,Rob Lee ,Newcastle United , England 
3, ﻿October ,1994,Paul Ince ,Manchester United , England 
4, ﻿November ,1994,Alan Shearer* ,Blackburn Rovers , England 
5, ﻿December ,1994,Chris Sutton* ,Blackburn Rovers , England 
6, ﻿January ,1995,Matt Le Tissier ,Southampton , England 
7, ﻿February ,1995,Chris Waddle ,Sheffield Wednesday , England 
8, ﻿March ,1995,Duncan Ferguson ,Everton , Scotland 
9, ﻿April ,1995,Tony Yeboah ,Leeds United , Ghana 
10, ﻿August ,1995,David Seaman ,Arsenal , England 
11, ﻿September ,1995,David Ginola ,Newcastle United , France 
12, ﻿October ,1995,Tony Yeboah ,Leeds United , Ghana 
13, ﻿November ,1995,Trevor Sinclair ,Queens Park Rangers , England 
14, ﻿December ,1995,Rob Lee ,Newcastle United , England 
15, ﻿January ,1996,Robbie Fowler ,Liverpool , England 
16, ﻿February ,1996,Stan Collymore* ,Liverpool , England 
17, ﻿March ,1996,Robbie Fowler* ,Liverpool , England 
18, ﻿April ,1996,Dwight Yorke ,Aston Villa , Trinidad and Tobago 
19, ﻿August ,1996,Eric Cantona ,Manchester United , France 
20, ﻿September ,1996,Andrei Kanchelskis ,Everton , Russia 
21, ﻿October ,1996,David Beckham ,Manchester United , England 
22, ﻿November ,1996,Patrik Berger ,Liverpool , Czech Republic 
23, ﻿December ,1996,Matt Le Tissier ,Southampton , England 
24, ﻿January ,1997,Ian Wright ,Arsenal , England 
25, ﻿February ,1997,Gianfranco Zola ,Chelsea , Italy 
26, ﻿March ,1997,Tim Flowers ,Blackburn Rovers , England 
27, ﻿April ,1997,Robbie Earle ,Wimbledon , Jamaica 
28, ﻿August ,1997,Juninho Paulista ,Middlesbrough , Brazil 
29, ﻿September ,1997,Mickey Evans ,Southampton , Ireland 
30, ﻿October ,1997,Dennis Bergkamp ,Arsenal , Netherlands 
31, ﻿November ,1997,Dennis Bergkamp ,Arsenal , Netherlands 
32, ﻿December ,1997,Paulo Wanchope ,Derby County , Costa Rica 
33, ﻿January ,1998,Andy Cole*,Manchester United , England 
34, ﻿February ,1998,Kevin Davies*,Southampton , England 
35, ﻿March ,1998,Steve McManaman ,Liverpool , England 
36, ﻿April ,1998,Dion Dublin ,Coventry City , England 
37, ﻿August ,1998,Chris Sutton ,Blackburn Rovers , England 
38, ﻿September ,1998,Alex Manninger ,Arsenal , Austria 
39, ﻿October ,1998,Emmanuel Petit ,Arsenal , France 
40, ﻿November ,1998,Michael Owen ,Liverpool , England 
41, ﻿December ,1998,Alan Shearer ,Newcastle United , England 
42, ﻿January ,1999,Roy Keane ,Manchester United , Ireland 
43, ﻿February ,1999,Dion Dublin ,Aston Villa , England 
44, ﻿March ,1999,David Ginola ,Tottenham Hotspur , France 
45, ﻿April ,1999,Dwight Yorke ,Manchester United , Trinidad and Tobago 
46, ﻿August ,1999,Nicolas Anelka ,Arsenal , France 
47, ﻿September ,1999,Ray Parlour ,Arsenal , England 
48, ﻿October ,1999,Kevin Campbell ,Everton , England 
49, ﻿November ,1999,Robbie Keane ,Coventry City , Ireland 
50, ﻿December ,1999,Muzzy Izzet ,Leicester City , Turkey 
51, ﻿January ,2000,Kevin Phillips ,Sunderland , England 
52, ﻿February ,2000,Sami Hyypiä ,Liverpool , Finland 
53, ﻿March ,2000,Roy Keane ,Manchester United , Ireland 
54, ﻿April ,2000,Gareth Southgate ,Aston Villa , England 
55, ﻿August ,2000,Paul Merson ,Aston Villa , England 
56, ﻿September ,2000,Dwight Yorke ,Manchester United , Trinidad and Tobago 
57, ﻿October ,2000,Thierry Henry ,Arsenal , France 
58, ﻿November ,2000,Alan Smith ,Leeds United , England 
59, ﻿December ,2000,Tim Flowers ,Leicester City , England 
60, ﻿January ,2001,Teddy Sheringham ,Manchester United , England 
61, ﻿February ,2001,Paul Robinson ,Leeds United , England 
62, ﻿March ,2001,James Beattie ,Southampton , England 
63, ﻿April ,2001,Robbie Keane ,Leeds United , Ireland 
64, ﻿August ,2001,Stuart Pearce ,West Ham United , England 
65, ﻿September ,2001,Steven Gerrard ,Liverpool , England 
66, ﻿October ,2001,Gary McAllister ,Liverpool , Scotland 
67, ﻿November ,2001,Louis Saha ,Fulham , France 
68, ﻿December ,2001,Juan Sebastián Verón ,Manchester United , Argentina 
69, ﻿January ,2002,Rio Ferdinand ,Leeds United , England 
70, ﻿February ,2002,Danny Murphy ,Liverpool , England 
71, ﻿March ,2002,Ruud van Nistelrooy ,Manchester United , Netherlands 
72, ﻿April ,2002,Marcus Bent ,Ipswich Town , England 
73, ﻿August ,2002,Ruud van Nistelrooy ,Manchester United , Netherlands 
74, ﻿September ,2002,Dennis Bergkamp ,Arsenal , Netherlands 
75, ﻿October ,2002,Freddie Ljungberg ,Arsenal , Sweden 
76, ﻿November ,2002,Sylvain Wiltord ,Arsenal , France 
77, ﻿December ,2002,Thierry Henry ,Arsenal , France 
78, ﻿January ,2003,Gianfranco Zola ,Chelsea , Italy 
79, ﻿February ,2003,James Beattie ,Southampton , England 
80, ﻿March ,2003,Alan Shearer ,Newcastle United , England 
81, ﻿April ,2003,Paul Scholes ,Manchester United , England 
82, ﻿August ,2003,Robert Pirès ,Arsenal , France 
83, ﻿September ,2003,Steven Gerrard ,Liverpool , England 
84, ﻿October ,2003,Ruud van Nistelrooy ,Manchester United , Netherlands 
85, ﻿November ,2003,Teddy Sheringham ,Portsmouth , England 
86, ﻿December ,2003,Frank Lampard ,Chelsea , England 
87, ﻿January ,2004,Alan Shearer ,Newcastle United , England 
88, ﻿February ,2004,Jay-Jay Okocha ,Bolton Wanderers , Nigeria 
89, ﻿March ,2004,Paul Scholes ,Manchester United , England 
90, ﻿April ,2004,Thierry Henry ,Arsenal , France 
91, ﻿August ,2004,Dennis Bergkamp* ,Arsenal , Netherlands 
92, ﻿September ,2004,Edu* ,Arsenal , Brazil 
