SL_Number,Player,Goals
1,Alan Shearer,260
2,Harry  Kane,213
3,Wayne Rooney,208
4,Andrew Cole,187
5,Sergio  Agüero,184
6,Frank Lampard,177
7,Thierry Henry,175
8,Mohamed  Salah,164
9,Robbie Fowler,163
10,Jermain Defoe,162
11,Michael Owen,150
12,Les Ferdinand,149
13,Teddy Sheringham,146
14,Robin Van Persie,144
15,Jamie  Vardy,140
16,Jimmy Floyd Hasselbaink,127
17,Robbie Keane,126
18,Nicolas Anelka,125
19,Son  Heung-min,123
20,Raheem  Sterling,123
21,Dwight Yorke,123
22,Romelu  Lukaku,121
23,Steven Gerrard,120
24,Ian Wright,113
25,Sadio Mané,111
26,Dion Dublin,111
27,Emile Heskey,110
28,Ryan Giggs,109
29,Peter Crouch,108
30,Paul Scholes,107
31,Darren Bent,106
32,Didier Drogba,104
33,Cristiano Ronaldo,103
34,Matthew Le Tissier,101
35,Emmanuel Adebayor,97
36,Yakubu,95
37,Ruud van Nistelrooy,95
38,Dimitar Berbatov,94
39,Kevin Phillips,92
40,Mark Viduka,92
41,Ole Gunnar Solskjaer,91
42,James Beattie,91
43,Olivier Giroud,90
44,Callum  Wilson,88
45,Kevin Davies,88
46,Dennis Bergkamp,87
47,Christian  Benteke,86
48,Eden  Hazard,85
49,Louis Saha,85
50,Fernando Torres,85
51,Marcus  Rashford,84
52,Carlos Tevez,84
53,Chris Sutton,83
54,Kevin Campbell,83
55,Roberto  Firmino,82
56,Riyad  Mahrez,82
57,Craig Bellamy,81
58,Theo  Walcott,80
59,Gary Speed,80
60,Tony Cottee,78
61,Chris  Wood,77
62,Daniel  Sturridge,76
63,Erling Haaland,74
64,Gabriel Agbonlahor,74
65,Danny  Welbeck,73
66,Gabriel  Jesus,73
67,Danny  Ings,72
68,Chris Armstrong,71
69,Brian Deane,71
70,Eric Cantona,70
71,Kevin  De Bruyne,69
72,Pierre-Emerick  Aubameyang,69
73,Kevin Nolan,69
74,Luis Suarez,69
75,Michail  Antonio,68
76,Wilfried  Zaha,68
77,Duncan Ferguson,68
78,Gylfi  Sigurdsson,67
79,Paolo di Canio,66
80,Ollie Watkins,64
81,Mark Hughes,64
82,Anthony  Martial,63
83,Alexis  Sánchez,63
84,Dean Holdsworth,63
85,Robert Pires,62
86,David Beckham,62
87,Stan Collymore,62
88,Yaya  Touré,62
89,Richarlison,60
90,David  Silva,60
91,Diogo Jota,59
92,Gianfranco Zola,59
93,Niall Quinn,59
94,Peter Beardsley,58
95,Clint Dempsey,57
96,Lee Bowyer,57
97,Harry Kewell,57
98,Dominic  Calvert-Lewin,56
99,James  Ward-Prowse,56
100,Shane  Long,56
